City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,saldanha,-33.0117,17.9442,62.69,91,38,3.15,ZA,1733522988
140,port augusta,-32.5,137.7667,76.84,65,4,16.02,AU,1733522989
141,flying fish cove,-10.4217,105.6791,78.48,100,100,10.36,CX,1733522991
142,fale old settlement,-9.3852,-171.2468,83.1,77,83,13.58,TK,1733522992
143,palembang,-2.9167,104.7458,78.89,94,40,2.3,ID,1733522993
144,ikalamavony,-21.15,46.5833,72.63,78,78,3.53,MG,1733522994
145,houghton,47.1219,-88.569,23.83,83,100,9.22,US,1733522996
146,oltinko'l,40.8011,72.1634,38.3,50,0,3.02,UZ,1733522997
147,hithadhoo,-0.6,73.0833,82.13,76,78,12.15,MV,1733522998
148,dunedin,-45.8742,170.5036,63.81,77,76,1.99,NZ,1733523002
149,broome,42.2506,-75.833,26.19,64,75,6.91,US,1733523003
150,vic-en-bigorre,43.3833,0.05,57.16,96,100,6.62,FR,1733523004
151,champerico,14.3,-91.9167,82.96,65,76,5.97,GT,1733523006
152,peterhead,57.5058,-1.7981,41.14,91,100,26.84,GB,1733523007
153,nishiwaki,34.9833,134.9667,37.8,76,77,4.47,JP,1733523008
154,nidau,47.1255,7.2403,39.65,89,0,3.44,CH,1733523010
155,mamuju,-2.6748,118.8885,76.21,89,100,5.61,ID,1733523011
156,longyearbyen,78.2186,15.6401,30.04,74,75,20.71,SJ,1733523012
157,soe,-9.8607,124.284,68.56,88,99,2.33,ID,1733523015
158,angaur state,6.906,134.13,80.51,86,100,8.28,PW,1733523016
159,udachny,66.4167,112.4,7.25,91,59,19.93,RU,1733523017
160,penapolis,-21.4197,-50.0775,82.89,63,71,3.85,BR,1733523018
161,jamestown,42.097,-79.2353,25.02,97,100,9.22,US,1733523019
162,cabedelo,-6.9811,-34.8339,79.47,77,99,11.32,BR,1733523021
163,port angeles,48.1181,-123.4307,48.81,86,40,3.44,US,1733523022
164,progreso,21.2833,-89.6667,77.54,67,73,14.25,MX,1733523023
165,bojia,26.4672,111.9681,48.56,91,100,3.22,CN,1733523024
166,mount isa,-20.7333,139.5,83.97,74,70,6.91,AU,1733523026
167,chernyshkovskiy,48.4219,42.2308,29.35,74,90,15.1,RU,1733523027
168,chaohu,31.6,117.8667,45.72,59,22,3.87,CN,1733523028
169,niafunke,15.9322,-3.9906,72.61,15,100,12.19,ML,1733523029
170,prado,-17.3411,-39.2208,77.77,84,0,11.01,BR,1733523030
171,mossel bay,-34.1831,22.146,66.61,76,76,2.33,ZA,1733523032
172,jimenez,28.3333,-105.4,65.55,49,91,11.32,MX,1733523033
173,east ballina,-28.8667,153.5833,77.34,73,5,9.84,AU,1733523034
174,koulamoutou,-1.1303,12.4736,71.4,96,64,1.57,GA,1733523035
175,charters towers,-20.1,146.2667,78.87,68,9,13.33,AU,1733523037
176,tangalle,6.024,80.7911,76.32,83,100,6.2,LK,1733523038
177,tsumeb,-19.2333,17.7167,85.44,18,73,1.05,NA,1733523039
178,manokwari,-0.8667,134.0833,80.91,77,100,5.06,ID,1733523040
179,durban,-29.8579,31.0292,70.66,85,20,8.5,ZA,1733522926
180,rio grande,-32.035,-52.0986,71.13,80,66,8.88,BR,1733523043
181,kavieng,-2.5744,150.7967,83.59,73,99,6.22,PG,1733523044
182,selfoss,63.9331,-20.9971,20.03,84,17,7.47,IS,1733523045
183,khandyga,62.6667,135.6,-27.45,99,70,1.95,RU,1733523047
184,chibougamau,49.9168,-74.3659,4.62,85,100,10.36,CA,1733523049
185,hami,42.8,93.45,25.84,62,0,5.32,CN,1733523050
186,luderitz,-26.6481,15.1594,64.65,62,77,17.83,NA,1733523052
187,dudinka,69.4058,86.1778,5.76,95,100,12.33,RU,1733523053
188,gunsan,35.9786,126.7114,35.49,75,75,5.75,KR,1733523054
189,urengoy,65.9667,78.3667,-13.05,100,84,6.17,RU,1733523057
190,east london,-33.0153,27.9116,69.12,78,78,9.89,ZA,1733523058
191,badger,64.8,-147.5333,17.37,90,75,0.0,US,1733523059
192,san patricio,28.017,-97.5169,57.15,48,100,11.34,US,1733523060
193,bikaner,28.0167,73.3,58.82,30,0,5.88,IN,1733523061
194,feijo,-8.1642,-70.3536,77.41,92,100,3.6,BR,1733523063
195,tazovsky,67.4667,78.7,-8.3,100,88,7.56,RU,1733523064
196,cockburn town,21.4612,-71.1419,78.67,81,78,16.89,TC,1733523065
197,ancud,-41.8697,-73.8203,56.46,63,27,6.53,CL,1733523066
198,guigang,23.0964,109.6092,57.65,67,98,6.42,CN,1733523068
199,jian'ou,27.0469,118.3253,53.65,94,100,2.39,CN,1733523069
200,praia da vitoria,38.7333,-27.0667,62.22,95,70,6.93,PT,1733523070
201,san clemente,33.427,-117.612,77.45,47,0,11.81,US,1733523071
202,klaksvik,62.2266,-6.589,42.6,60,99,7.87,FO,1733523072
203,port alfred,-33.5906,26.891,65.17,95,76,1.01,ZA,1733523074
204,mbanza kongo,-6.267,14.2401,69.17,94,32,1.34,AO,1733523075
205,midland,31.9974,-102.0779,49.19,61,100,12.66,US,1733522905
206,lazaro cardenas,17.9583,-102.2,82.31,65,44,5.5,MX,1733523077
207,tabou,4.423,-7.3528,79.47,84,11,6.96,CI,1733523079
208,anadyr,64.75,177.4833,-14.01,75,85,13.42,RU,1733523080
209,glendive,47.1053,-104.7125,49.62,43,0,9.22,US,1733523081
210,iquitos,-3.7481,-73.2472,84.24,79,75,2.3,PE,1733523083
211,ongjin,37.9347,125.3619,32.94,61,9,11.52,KP,1733523084
212,retreat,38.8245,-85.8533,31.98,39,0,3.0,US,1733523085
213,ocean acres,39.7435,-74.281,33.64,48,2,7.83,US,1733522867
214,whakatane,-37.9585,176.9854,67.77,71,41,9.01,NZ,1733522943
215,heihe,50.2441,127.4902,9.18,80,100,10.13,CN,1733523089
216,guiuan,11.0333,125.7247,81.28,84,81,8.66,PH,1733523090
217,vila franca do campo,37.7167,-25.4333,64.89,99,5,2.71,PT,1733523091
218,ponta delgada,37.7333,-25.6667,65.19,94,20,3.44,PT,1733523093
219,abepura,-2.6333,140.5833,79.61,83,40,4.61,ID,1733523094
220,arno,60.1167,18.6333,34.29,89,97,8.77,SE,1733523095
221,klyuchi,52.2667,79.1667,15.46,95,99,6.4,RU,1733523097
222,iquique,-20.2208,-70.1431,66.92,79,68,8.86,CL,1733523098
223,nuuk,64.1835,-51.7216,18.21,53,40,4.61,GL,1733523099
224,la passe,45.5549,-0.8967,57.76,88,100,16.69,FR,1733523101
225,priyutovo,53.9,53.9333,4.73,98,62,1.66,RU,1733523102
226,nyurba,63.2842,118.3319,16.3,91,100,11.97,RU,1733523103
227,rongelap,11.1635,166.8941,82.45,79,100,25.5,MH,1733523104
228,asaita,11.5636,41.4394,76.89,54,3,11.77,ET,1733523105
229,anse la raye,13.9333,-61.0333,78.44,100,1,11.07,LC,1733523107
230,punta arenas,-53.15,-70.9167,50.11,53,0,9.22,CL,1733523108
231,velikiy ustyug,60.7644,46.3106,15.13,95,22,5.82,RU,1733523109
232,okhotsk,59.3833,143.3,11.32,86,73,13.04,RU,1733523110
